TimeUS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U,t_s
2515429863,1,3,397621999,2382,13,0.79,41.606702,-86.35604939999999,245.99,0.030413813889026642,350.5376892089844,0.9430000185966492,0.0,1,2515.43
2515629760,0,3,397622199,2382,13,0.79,41.6066922,-86.35604049999999,247.61,0.12473973631858826,41.09950256347656,1.1630001068115234,0.0,0,2515.63
2515649664,1,3,397622199,2382,13,0.79,41.6067021,-86.35604959999999,245.75,0.06296825408935547,290.4495544433594,1.187000036239624,0.0,1,2515.65
2515829842,0,3,397622399,2382,13,0.79,41.6066922,-86.3560404,247.38,0.015811389312148094,341.5650634765625,1.3750001192092896,0.0,0,2515.83
2515829857,1,3,397622399,2382,13,0.79,41.6067021,-86.3560498,245.46,0.06621933728456497,255.12432861328125,1.3390001058578491,0.0,1,2515.83
2516029866,0,3,397622599,2382,13,0.79,41.6066922,-86.35604049999999,247.09,0.067601777613163,299.21923828125,1.5830000638961792,0.0,0,2516.03
2516029882,1,3,397622599,2382,13,0.79,41.6067021,-86.35605009999999,245.13,0.04810405522584915,290.6954650878906,1.499000072479248,0.0,1,2516.03
2516229820,0,3,397622799,2382,13,0.79,41.6066922,-86.35604049999999,246.79,0.08115417510271072,22.45693588256836,1.4910000562667847,0.0,0,2516.23
2516229834,1,3,397622799,2382,13,0.79,41.606702299999995,-86.3560502,244.76,0.07324616611003876,345.7740478515625,1.596000075340271,0.0,1,2516.23
2516429718,0,3,397622999,2382,13,0.79,41.6066922,-86.35604049999999,246.48000000000002,0.07863841205835342,172.69422912597656,1.5410001277923584,0.0,0,2516.43
2516429732,1,3,397622999,2382,13,0.79,41.606702299999995,-86.35605029999999,244.42000000000002,0.056320514529943466,106.50435638427734,1.5470000505447388,0.0,1,2516.43
2516629690,0,3,397623199,2382,13,0.79,41.606691999999995,-86.3560404,246.17000000000002,0.1446927934885025,139.48460388183594,1.5260000228881836,0.0,0,2516.63
2516629705,1,3,397623199,2382,13,0.79,41.606702299999995,-86.35605009999999,244.09,0.10623089224100113,104.16704559326172,1.5070000886917114,0.0,1,2516.63
2516829636,0,3,397623399,2382,13,0.79,41.6066918,-86.3560402,245.86,0.1149347722530365,100.52777862548828,1.2850000858306885,0.0,0,2516.83
2516829725,1,3,397623399,2382,13,0.79,41.6067022,-86.35605,243.78,0.09068627655506134,131.4236602783203,1.3870000839233398,0.0,1,2516.83
2517029705,0,3,397623599,2382,13,0.79,41.6066916,-86.3560399,245.62,0.21163412928581238,142.10125732421875,1.2700001001358032,0.0,0,2517.03
2517029719,1,3,397623599,2382,13,0.79,41.6067021,-86.3560499,243.49,0.1691892445087433,145.84030151367188,1.290000081062317,0.0,1,2517.03
2517229555,0,3,397623799,2382,13,0.79,41.6066913,-86.3560397,245.36,0.16147446632385254,152.32408142089844,1.371000051498413,0.0,0,2517.23
2517229598,1,3,397623799,2382,13,0.79,41.606701699999995,-86.3560497,243.25,0.20286941528320312,170.35194396972656,1.2320001125335693,0.0,1,2517.23
2517429652,0,3,397623999,2382,13,0.79,41.606691,-86.3560397,245.04,0.16063936054706573,190.4005584716797,1.3140000104904175,0.0,0,2517.43
2517429716,1,3,397623999,2382,13,0.79,41.6067014,-86.3560497,242.97,0.1563713699579239,159.01510620117188,1.215000033378601,0.0,1,2517.43
2517629644,0,3,397624199,2382,13,0.79,41.6066907,-86.35603979999999,244.8,0.11884864419698715,218.5092315673828,1.3370000123977661,0.0,0,2517.63
2517629657,1,3,397624199,2382,13,0.79,41.6067013,-86.3560497,242.67000000000002,0.0298328697681427,219.55967712402344,1.2510000467300415,0.0,1,2517.63
2517829697,0,3,397624399,2382,13,0.79,41.6066907,-86.35604,244.46,0.09352005273103714,335.3532409667969,1.377000093460083,0.0,0,2517.83
2517829712,1,3,397624399,2382,13,0.79,41.606701199999996,-86.3560498,242.38,0.07818568497896194,200.98489379882812,1.3340001106262207,0.0,1,2517.83
2518029694,0,3,397624599,2382,13,0.79,41.6066907,-86.3560401,244.15,0.07443118095397949,186.17018127441406,1.4560000896453857,0.0,0,2518.03
2518029735,1,3,397624599,2382,13,0.79,41.606701099999995,-86.35605,242.09,0.054129477590322495,281.72509765625,1.3230000734329224,0.0,1,2518.03
2518229730,0,3,397624799,2382,13,0.79,41.6066905,-86.35604029999999,243.85,0.1366528570652008,218.46336364746094,1.3830000162124634,0.0,0,2518.23
2518229772,1,3,397624799,2382,13,0.79,41.606701099999995,-86.3560502,241.81,0.09899495542049408,261.8699035644531,1.409000039100647,0.0,1,2518.23
2518429644,0,3,397624999,2382,13,0.79,41.6066904,-86.3560404,243.57,0.08329465985298157,355.1792297363281,1.4880000352859497,0.0,0,2518.43
2518429664,1,3,397624999,2382,13,0.79,41.606701199999996,-86.35605059999999,241.48000000000002,0.1664121448993683,297.95098876953125,1.4410001039505005,0.0,1,2518.43
2518629588,0,3,397625199,2382,13,0.79,41.6066904,-86.3560406,243.29,0.08254089951515198,250.90652465820312,1.4980000257492065,0.0,0,2518.63
2518629631,1,3,397625199,2382,13,0.79,41.6067013,-86.3560509,241.17000000000002,0.10962208360433578,316.10882568359375,1.5250000953674316,0.0,1,2518.63
2518829764,0,3,397625399,2382,13,0.79,41.6066904,-86.3560409,243.0,0.1310267150402069,301.26373291015625,1.4980000257492065,0.0,0,2518.83
2518829777,1,3,397625399,2382,13,0.79,41.6067014,-86.3560511,240.87,0.11272089928388596,291.3294677734375,1.4540001153945923,0.0,1,2518.83
2519029609,0,3,397625599,2382,13,0.79,41.6066903,-86.3560411,242.71,0.1491643339395523,182.6897735595703,1.4170000553131104,0.0,0,2519.03
2519029625,1,3,397625599,2382,13,0.79,41.606701199999996,-86.35605129999999,240.57,0.15493224561214447,191.16488647460938,1.4900001287460327,0.0,1,2519.03
2519229645,0,3,397625799,2382,13,0.79,41.6066901,-86.35604119999999,242.44,0.07102112472057343,147.6525421142578,1.4560000896453857,0.0,0,2519.23
2519229660,1,3,397625799,2382,13,0.79,41.606701,-86.3560514,240.28,0.07623647898435593,184.5139923095703,1.3560000658035278,0.0,1,2519.23
2519429692,0,3,397625999,2382,13,0.79,41.60669,-86.3560411,242.16,0.08338465541601181,157.4329833984375,1.4420000314712524,0.0,0,2519.43
2519429706,1,3,397625999,2382,13,0.79,41.6067009,-86.3560514,239.97,0.09534149616956711,167.275634765625,1.4180001020431519,0.0,1,2519.43
2519629691,0,3,397626199,2382,13,0.79,41.6066899,-86.3560411,241.87,0.044721364974975586,153.43495178222656,1.4000000953674316,0.0,0,2519.63
2519629704,1,3,397626199,2382,13,0.79,41.6067007,-86.35605149999999,239.67000000000002,0.09095603972673416,194.6473846435547,1.340000033378601,0.0,1,2519.63
2519829697,0,3,397626399,2382,13,0.79,41.60669,-86.35604119999999,241.56,0.05872819200158119,312.9299621582031,1.412000060081482,0.0,0,2519.83
2519829710,1,3,397626399,2382,13,0.79,41.606700499999995,-86.3560514,239.38,0.0915914848446846,100.69650268554688,1.4320000410079956,0.0,1,2519.83
2520029602,0,3,397626599,2382,13,0.79,41.6066901,-86.3560413,241.23000000000002,0.041773200035095215,78.95906066894531,1.4630000591278076,0.0,0,2520.03
2520029618,1,3,397626599,2382,13,0.79,41.606700499999995,-86.35605129999999,239.09,0.07702597230672836,29.560354232788086,1.406000018119812,0.0,1,2520.03
