TimeUS,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt,t_s
56982943,-2.682209014892578e-07,-3.6851588447461836e-10,0.0,0.17597077786922455,0.03086460754275322,0.03086460754275322,0.79,nan,0.0,nan,-2,-2,56.983
57082893,-2.682209014892578e-07,-3.6774849831999745e-10,0.0,0.17597077786922455,0.029696296900510788,0.029696296900510788,0.73,nan,0.0,nan,-2,-2,57.083
57182887,-2.682209014892578e-07,-3.6706637729366776e-10,0.0,0.17597077786922455,0.02570582553744316,0.02570582553744316,0.86,nan,0.0,nan,-3,-3,57.183
57282906,-2.682209014892578e-07,-3.6698111216537654e-10,0.0,0.17597077786922455,0.021164845675230026,0.021164845675230026,0.68,nan,0.0,nan,-3,-3,57.283
57382958,-2.682209014892578e-07,-3.6703795558423735e-10,0.0,0.17597077786922455,0.016596030443906784,0.016596030443906784,0.64,nan,0.0,nan,-3,-3,57.383
57483032,-2.682209014892578e-07,-3.6686742532765493e-10,0.0,0.17597077786922455,0.014664302580058575,0.014664302580058575,0.85,nan,0.0,nan,-3,-3,57.483
57582921,-2.682209014892578e-07,-3.665832082333509e-10,0.0,0.17597077786922455,0.015368233434855938,0.015368233434855938,0.73,nan,0.0,nan,-3,-3,57.583
57682943,-2.682209014892578e-07,-3.668105819087941e-10,0.0,0.17597077786922455,0.01494599413126707,0.01494599413126707,0.7000000000000001,nan,0.0,nan,-3,-3,57.683
57783036,-2.682209014892578e-07,-3.668105819087941e-10,0.0,0.17597077786922455,0.01475812029093504,0.01475812029093504,0.7000000000000001,nan,0.0,nan,-3,-3,57.783
57882921,-2.682209014892578e-07,-3.666116299427813e-10,0.0,0.17597077786922455,0.01540518831461668,0.01540518831461668,0.84,nan,0.0,nan,-3,-3,57.883
57982944,-2.682209014892578e-07,-3.665832082333509e-10,0.0,0.17597077786922455,0.017672251909971237,0.017672251909971237,0.63,nan,0.0,nan,-3,-3,57.983
58083007,-2.682209014892578e-07,-3.6689584703708533e-10,0.0,0.17597077786922455,0.018886994570493698,0.018886994570493698,0.7000000000000001,nan,0.0,nan,-3,-3,58.083
58182961,-2.682209014892578e-07,-3.674074378068326e-10,0.0,0.17597077786922455,0.018936704844236374,0.018936704844236374,0.66,nan,0.0,nan,-3,-3,58.183
58283526,-2.682209014892578e-07,-3.6786218515771907e-10,0.0,0.17597077786922455,0.017435859888792038,0.017435859888792038,0.91,nan,0.0,nan,-3,-3,58.284
58382887,-2.682209014892578e-07,-3.6831693250860553e-10,0.0,0.17597077786922455,0.015006552450358868,0.015006552450358868,0.65,nan,0.0,nan,-3,-3,58.383
58482908,-2.682209014892578e-07,-3.682600890897447e-10,0.0,0.17597077786922455,0.013602147810161114,0.013602147810161114,0.74,nan,0.0,nan,-3,-3,58.483
58582906,-2.682209014892578e-07,-3.6786218515771907e-10,0.0,0.17597077786922455,0.012864778749644756,0.012864778749644756,0.56,nan,0.0,nan,-3,-3,58.583
58682948,-2.682209014892578e-07,-3.681748239614535e-10,0.0,0.17597077786922455,0.011357913725078106,0.011357913725078106,0.7000000000000001,nan,0.0,nan,-3,-3,58.683
58782945,-2.682209014892578e-07,-3.6834535421803594e-10,0.0,0.17597077786922455,0.01259536575525999,0.01259536575525999,0.71,nan,0.0,nan,-3,-3,58.783
58882899,-2.682209014892578e-07,-3.688853666972136e-10,0.0,0.17597077786922455,0.0119367940351367,0.0119367940351367,0.72,nan,0.0,nan,-3,-3,58.883
58982901,-2.682209014892578e-07,-3.689422101160744e-10,0.0,0.17597077786922455,0.012514363043010235,0.012514363043010235,0.7000000000000001,nan,0.0,nan,-3,-3,58.983
59082921,-2.682209014892578e-07,-3.6857272789347917e-10,0.0,0.17597077786922455,0.012206624262034893,0.012206624262034893,0.68,nan,0.0,nan,-3,-3,59.083
