TimeUS,Instance,Volt,VoltR,Curr,CurrTot,EnrgTot,Temp,Res,RemPct,t_s
55182832,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,55.183
55182852,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,55.183
55282770,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,55.283
55282787,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,55.283
55382797,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,55.383
55382815,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,55.383
55482775,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,55.483
55482822,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,55.483
55582755,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,55.583
55582774,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,55.583
55682775,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,55.683
55682796,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,55.683
55782822,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,55.783
55782845,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,55.783
55882731,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,55.883
55882824,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,55.883
55982760,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,55.983
55982786,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,55.983
56082761,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,56.083
56082784,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,56.083
56182758,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,56.183
56182776,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,56.183
